	(<$)	a -> f b -> f a
	(<$>)	Functor f => (a -> b) -> f a -> f b
	(GHC.Base.<**>)	Applicative f => f a -> f (a -> b) -> f b
	GHC.Base.empty	f a
	(GHC.Base.<|>)	f a -> f a -> f a
	GHC.Base.some	f a -> f [a]
	GHC.Base.many	f a -> f [a]
	pure	a -> f a
	(<*>)	f (a -> b) -> f a -> f b
	liftA2	(a -> b -> c) -> f a -> f b -> f c
	(*>)	f a -> f b -> f b
	(<*)	f a -> f b -> f a
	GHC.Base.liftA	Applicative f => (a -> b) -> f a -> f b
	Control.Arrow.arr	(b -> c) -> a b c
	Control.Arrow.first	a b c -> a (b, d) (c, d)
	Control.Arrow.second	a b c -> a (d, b) (d, c)
	(Control.Arrow.***)	a b c -> a b' c' -> a (b, b') (c, c')
	(Control.Arrow.&&&)	a b c -> a b c' -> a b (c, c')
	Control.Arrow.app	a (a b c, b) c
	Control.Arrow.left	a b c -> a (Either b d) (Either c d)
	Control.Arrow.right	a b c -> a (Either d b) (Either d c)
	(Control.Arrow.+++)	a b c
	(Control.Arrow.|||)	a b d -> a c d -> a (Either b c) d
	Control.Arrow.loop	a (b, d) (c, d) -> a b c
	(Control.Arrow.<+>)	a b c -> a b c -> a b c
	Control.Arrow.zeroArrow	a b c
	Control.Arrow.returnA	Control.Arrow.Arrow a => a b b
	Control.Category.id	forall (a :: k). cat a a
	(Control.Category..)	forall (b :: k) (c :: k) (a :: k).
	Control.Concurrent.forkOS	IO () -> IO GHC.Conc.Sync.ThreadId
	Control.Concurrent.isCurrentThreadBound	IO Bool
	Control.Concurrent.rtsSupportsBoundThreads	Bool
	Control.Concurrent.runInBoundThread	IO a -> IO a
	Control.Concurrent.runInUnboundThread	IO a -> IO a
	Control.Concurrent.threadWaitRead	System.Posix.Types.Fd -> IO ()
	GHC.Conc.Sync.forkIO	IO () -> IO GHC.Conc.Sync.ThreadId
	GHC.Conc.Sync.forkOn	Int -> IO () -> IO GHC.Conc.Sync.ThreadId
	GHC.Conc.Sync.getNumCapabilities	IO Int
	GHC.MVar.isEmptyMVar	GHC.MVar.MVar a -> IO Bool
	GHC.Conc.Sync.killThread	GHC.Conc.Sync.ThreadId -> IO ()
	GHC.Conc.Sync.myThreadId	IO GHC.Conc.Sync.ThreadId
	GHC.MVar.newEmptyMVar	IO (GHC.MVar.MVar a)
	GHC.MVar.newMVar	a -> IO (GHC.MVar.MVar a)
	GHC.MVar.putMVar	GHC.MVar.MVar a -> a -> IO ()
	GHC.MVar.readMVar	GHC.MVar.MVar a -> IO a
	GHC.Conc.Sync.setNumCapabilities	Int -> IO ()
	Control.Concurrent.MVar.swapMVar	GHC.MVar.MVar a -> a -> IO a
	GHC.MVar.takeMVar	GHC.MVar.MVar a -> IO a
	GHC.Conc.IO.threadDelay	Int -> IO ()
	GHC.MVar.tryPutMVar	GHC.MVar.MVar a -> a -> IO Bool
	GHC.MVar.tryReadMVar	GHC.MVar.MVar a -> IO (Maybe a)
	GHC.MVar.tryTakeMVar	GHC.MVar.MVar a -> IO (Maybe a)
	GHC.Conc.Sync.yield	IO ()
	Control.Concurrent.MVar.swapMVar	GHC.MVar.MVar a -> a -> IO a
	GHC.MVar.isEmptyMVar	GHC.MVar.MVar a -> IO Bool
	GHC.MVar.newEmptyMVar	IO (GHC.MVar.MVar a)
	GHC.MVar.newMVar	a -> IO (GHC.MVar.MVar a)
	GHC.MVar.putMVar	GHC.MVar.MVar a -> a -> IO ()
	GHC.MVar.readMVar	GHC.MVar.MVar a -> IO a
	GHC.MVar.takeMVar	GHC.MVar.MVar a -> IO a
	GHC.MVar.tryPutMVar	GHC.MVar.MVar a -> a -> IO Bool
	GHC.MVar.tryReadMVar	GHC.MVar.MVar a -> IO (Maybe a)
	GHC.MVar.tryTakeMVar	GHC.MVar.MVar a -> IO (Maybe a)
	Control.Exception.allowInterrupt	IO ()
	GHC.Exception.Type.toException	e
	GHC.Exception.Type.fromException	GHC.Exception.Type.SomeException
	GHC.Exception.Type.displayException	e -> String
	GHC.IO.Exception.ioe_type	GHC.IO.Exception.IOErrorType,
	GHC.IO.Exception.ioe_location	String,
	GHC.IO.Exception.ioe_description	String,
	GHC.IO.Exception.ioe_errno	Maybe Foreign.C.Types.CInt,
	GHC.IO.Exception.ioe_filename	Maybe FilePath}
	GHC.Base.assert	Bool -> a -> a
	Control.Exception.Base.bracket_	IO a -> IO b -> IO c -> IO c
	GHC.IO.evaluate	a -> IO a
	Control.Exception.Base.finally	IO a -> IO b -> IO a
	GHC.IO.getMaskingState	IO GHC.IO.MaskingState
	GHC.IO.interruptible	IO a -> IO a
	ioError	IOError -> IO a
	GHC.IO.mask	((forall a. IO a -> IO a) -> IO b) -> IO b
	GHC.IO.mask_	IO a -> IO a
	Control.Exception.Base.onException	IO a -> IO b -> IO a
	GHC.Exception.throw	GHC.Exception.Type.Exception e => e -> a
	GHC.IO.throwIO	GHC.Exception.Type.Exception e => e -> IO a
	GHC.IO.uninterruptibleMask_	IO a -> IO a
	Control.Exception.Base.bracket_	IO a -> IO b -> IO c -> IO c
	Control.Exception.Base.finally	IO a -> IO b -> IO a
	Control.Exception.Base.onException	IO a -> IO b -> IO a
	GHC.Exception.Type.toException	e
	GHC.Exception.Type.fromException	GHC.Exception.Type.SomeException
	GHC.Exception.Type.displayException	e -> String
	GHC.IO.Exception.ioe_type	GHC.IO.Exception.IOErrorType,
	GHC.IO.Exception.ioe_location	String,
	GHC.IO.Exception.ioe_description	String,
	GHC.IO.Exception.ioe_errno	Maybe Foreign.C.Types.CInt,
	GHC.IO.Exception.ioe_filename	Maybe FilePath}
	GHC.Base.assert	Bool -> a -> a
	GHC.IO.evaluate	a -> IO a
	GHC.IO.getMaskingState	IO GHC.IO.MaskingState
	ioError	IOError -> IO a
