	Control.Applicative.ZipList	[a] -> Control.Applicative.ZipList a
	(GHC.Base.<**>)	Applicative f => f a -> f (a -> b) -> f b
	(GHC.Base.<|>)	GHC.Base.Alternative f => f a -> f a -> f a
	GHC.Base.empty	GHC.Base.Alternative f => f a
	GHC.Base.liftA	Applicative f => (a -> b) -> f a -> f b
	GHC.Base.many	GHC.Base.Alternative f => f a -> f [a]
	GHC.Base.some	GHC.Base.Alternative f => f a -> f [a]
	(*>)	Applicative f => f a -> f b -> f b
	(<$)	Functor f => a -> f b -> f a
	(<$>)	Functor f => (a -> b) -> f a -> f b
	(<*)	Applicative f => f a -> f b -> f a
	(<*>)	Applicative f => f (a -> b) -> f a -> f b
	liftA2	Applicative f => (a -> b -> c) -> f a -> f b -> f c
	pure	Applicative f => a -> f a
	Control.Arrow.ArrowMonad	a () b -> Control.Arrow.ArrowMonad a b
	Control.Arrow.Kleisli	(a -> m b) -> Control.Arrow.Kleisli m a b
	Control.Arrow.app	Control.Arrow.ArrowApply a => a (a b c, b) c
	Control.Arrow.arr	Control.Arrow.Arrow a => (b -> c) -> a b c
	Control.Arrow.returnA	Control.Arrow.Arrow a => a b b
	Control.Arrow.runKleisli	Control.Arrow.Kleisli m a b -> a -> m b
	Control.Arrow.zeroArrow	Control.Arrow.ArrowZero a => a b c
	Control.Concurrent.forkOS	IO () -> IO GHC.Conc.Sync.ThreadId
	Control.Concurrent.isCurrentThreadBound	IO Bool
	Control.Concurrent.rtsSupportsBoundThreads	Bool
	Control.Concurrent.runInBoundThread	IO a -> IO a
	Control.Concurrent.runInUnboundThread	IO a -> IO a
	Control.Concurrent.threadWaitRead	System.Posix.Types.Fd -> IO ()
	GHC.Conc.Sync.forkIO	IO () -> IO GHC.Conc.Sync.ThreadId
	GHC.Conc.Sync.forkOn	Int -> IO () -> IO GHC.Conc.Sync.ThreadId
	GHC.Conc.Sync.getNumCapabilities	IO Int
	GHC.MVar.isEmptyMVar	GHC.MVar.MVar a -> IO Bool
	GHC.Conc.Sync.killThread	GHC.Conc.Sync.ThreadId -> IO ()
	GHC.Conc.Sync.myThreadId	IO GHC.Conc.Sync.ThreadId
	GHC.MVar.newEmptyMVar	IO (GHC.MVar.MVar a)
	GHC.MVar.newMVar	a -> IO (GHC.MVar.MVar a)
	GHC.MVar.putMVar	GHC.MVar.MVar a -> a -> IO ()
	GHC.MVar.readMVar	GHC.MVar.MVar a -> IO a
	GHC.Conc.Sync.setNumCapabilities	Int -> IO ()
	Control.Concurrent.MVar.swapMVar	GHC.MVar.MVar a -> a -> IO a
	GHC.MVar.takeMVar	GHC.MVar.MVar a -> IO a
	GHC.Conc.IO.threadDelay	Int -> IO ()
	GHC.MVar.tryPutMVar	GHC.MVar.MVar a -> a -> IO Bool
	GHC.MVar.tryReadMVar	GHC.MVar.MVar a -> IO (Maybe a)
	GHC.MVar.tryTakeMVar	GHC.MVar.MVar a -> IO (Maybe a)
	GHC.Conc.Sync.yield	IO ()
	Control.Concurrent.MVar.swapMVar	GHC.MVar.MVar a -> a -> IO a
	GHC.MVar.isEmptyMVar	GHC.MVar.MVar a -> IO Bool
	GHC.MVar.newEmptyMVar	IO (GHC.MVar.MVar a)
	GHC.MVar.newMVar	a -> IO (GHC.MVar.MVar a)
	GHC.MVar.putMVar	GHC.MVar.MVar a -> a -> IO ()
	GHC.MVar.readMVar	GHC.MVar.MVar a -> IO a
	GHC.MVar.takeMVar	GHC.MVar.MVar a -> IO a
	GHC.MVar.tryPutMVar	GHC.MVar.MVar a -> a -> IO Bool
	GHC.MVar.tryReadMVar	GHC.MVar.MVar a -> IO (Maybe a)
	GHC.MVar.tryTakeMVar	GHC.MVar.MVar a -> IO (Maybe a)
	Control.Exception.allowInterrupt	IO ()
	GHC.IO.Exception.Deadlock	GHC.IO.Exception.Deadlock
	GHC.Exception.Type.Denormal	GHC.Exception.Type.ArithException
	GHC.IO.Exception.HeapOverflow	GHC.IO.Exception.AsyncException
	GHC.IO.MaskedInterruptible	GHC.IO.MaskingState
	GHC.IO.MaskedUninterruptible	GHC.IO.MaskingState
	GHC.Exception.Type.Overflow	GHC.Exception.Type.ArithException
	GHC.IO.Exception.StackOverflow	GHC.IO.Exception.AsyncException
	GHC.IO.Exception.ThreadKilled	GHC.IO.Exception.AsyncException
	GHC.Exception.Type.Underflow	GHC.Exception.Type.ArithException
	GHC.IO.Unmasked	GHC.IO.MaskingState
	GHC.IO.Exception.UserInterrupt	GHC.IO.Exception.AsyncException
	GHC.Base.assert	Bool -> a -> a
	Control.Exception.Base.bracket_	IO a -> IO b -> IO c -> IO c
	GHC.IO.evaluate	a -> IO a
	Control.Exception.Base.finally	IO a -> IO b -> IO a
	GHC.IO.getMaskingState	IO GHC.IO.MaskingState
	GHC.IO.interruptible	IO a -> IO a
	GHC.IO.mask	((forall a. IO a -> IO a) -> IO b) -> IO b
	GHC.IO.mask_	IO a -> IO a
	Control.Exception.Base.onException	IO a -> IO b -> IO a
	GHC.Exception.throw	GHC.Exception.Type.Exception e => e -> a
	GHC.IO.throwIO	GHC.Exception.Type.Exception e => e -> IO a
	GHC.IO.uninterruptibleMask_	IO a -> IO a
	ioError	IOError -> IO a
	Control.Exception.Base.bracket_	IO a -> IO b -> IO c -> IO c
	Control.Exception.Base.finally	IO a -> IO b -> IO a
	Control.Exception.Base.onException	IO a -> IO b -> IO a
	GHC.IO.Exception.Deadlock	GHC.IO.Exception.Deadlock
	GHC.Exception.Type.Denormal	GHC.Exception.Type.ArithException
	GHC.IO.Exception.FixIOException	GHC.IO.Exception.FixIOException
	GHC.IO.Exception.HeapOverflow	GHC.IO.Exception.AsyncException
	GHC.IO.MaskedInterruptible	GHC.IO.MaskingState
	GHC.IO.MaskedUninterruptible	GHC.IO.MaskingState
	GHC.Exception.Type.Overflow	GHC.Exception.Type.ArithException
	GHC.IO.Exception.StackOverflow	GHC.IO.Exception.AsyncException
	GHC.IO.Exception.ThreadKilled	GHC.IO.Exception.AsyncException
	GHC.Exception.Type.Underflow	GHC.Exception.Type.ArithException
	GHC.IO.Unmasked	GHC.IO.MaskingState
	GHC.IO.Exception.UserInterrupt	GHC.IO.Exception.AsyncException
	GHC.Base.assert	Bool -> a -> a
	GHC.IO.evaluate	a -> IO a
	GHC.IO.getMaskingState	IO GHC.IO.MaskingState
	GHC.IO.mask	((forall a. IO a -> IO a) -> IO b) -> IO b
	GHC.IO.mask_	IO a -> IO a
	GHC.Exception.throw	GHC.Exception.Type.Exception e => e -> a
	GHC.IO.throwIO	GHC.Exception.Type.Exception e => e -> IO a
	GHC.IO.uninterruptibleMask_	IO a -> IO a
	ioError	IOError -> IO a
	(Control.Monad.<$!>)	Monad m => (a -> b) -> m a -> m b
	Control.Monad.forever	Applicative f => f a -> f b
	Control.Monad.guard	GHC.Base.Alternative f => Bool -> f ()
	Control.Monad.replicateM	Applicative m => Int -> m a -> m [a]
	Control.Monad.replicateM_	Applicative m => Int -> m a -> m ()
	Control.Monad.unless	Applicative f => Bool -> f () -> f ()
	GHC.Base.ap	Monad m => m (a -> b) -> m a -> m b
	GHC.Base.join	Monad m => m (m a) -> m a
	GHC.Base.liftM	Monad m => (a1 -> r) -> m a1 -> m r
	GHC.Base.mplus	GHC.Base.MonadPlus m => m a -> m a -> m a
	GHC.Base.mzero	GHC.Base.MonadPlus m => m a
	Data.Functor.void	Functor f => f a -> f ()
	GHC.Base.when	Applicative f => Bool -> f () -> f ()
	(<$)	Functor f => a -> f b -> f a
	(=<<)	Monad m => (a -> m b) -> m a -> m b
	(>>)	Monad m => m a -> m b -> m b
	(>>=)	Monad m => m a -> (a -> m b) -> m b
	fail	MonadFail m => String -> m a
	fmap	Functor f => (a -> b) -> f a -> f b
	mapM	(Traversable t, Monad m) => (a -> m b) -> t a -> m (t b)
	mapM_	(Foldable t, Monad m) => (a -> m b) -> t a -> m ()
	return	Monad m => a -> m a
	sequence	(Traversable t, Monad m) => t (m a) -> m (t a)
	sequence_	(Foldable t, Monad m) => t (m a) -> m ()
	fail	MonadFail m => String -> m a
	Data.Function.fix	(a -> a) -> a
	(<$)	Functor f => a -> f b -> f a
	(>>)	Monad m => m a -> m b -> m b
	(>>=)	Monad m => m a -> (a -> m b) -> m b
	fmap	Functor f => (a -> b) -> f a -> f b
	return	Monad m => a -> m a
type ghc-prim-0.10.0	GHC.Prim.RealWorld	*
type ghc-prim-0.10.0	GHC.ST.runST	(forall s. GHC.ST.ST s a) -> a
type ghc-prim-0.10.0	GHC.Prim.RealWorld	*
type base-4.18.3.0	Control.Monad.ST.Lazy.Imp.ST	* -> * -> *
type ghc-prim-0.10.0	GHC.Prim.RealWorld	*
type base-4.18.3.0	Control.Monad.ST.Lazy.Imp.ST	* -> * -> *
type ghc-prim-0.10.0	GHC.Prim.RealWorld	*
type ghc-prim-0.10.0	GHC.ST.runST	(forall s. GHC.ST.ST s a) -> a
type ghc-prim-0.10.0	GHC.Prim.RealWorld	*
type ghc-prim-0.10.0	GHC.ST.runST	(forall s. GHC.ST.ST s a) -> a
type ghc-prim-0.10.0	GHC.ST.unsafeDupableInterleaveST	GHC.ST.ST s a -> GHC.ST.ST s a
type ghc-prim-0.10.0	GHC.IO.unsafeIOToST	IO a -> GHC.ST.ST s a
type ghc-prim-0.10.0	GHC.ST.unsafeInterleaveST	GHC.ST.ST s a -> GHC.ST.ST s a
type ghc-prim-0.10.0	GHC.IO.unsafeSTToIO	GHC.ST.ST s a -> IO a
type ghc-prim-0.10.0	(Data.Bits.!<<.)	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	(Data.Bits.!>>.)	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	(Data.Bits..<<.)	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	(Data.Bits..>>.)	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	(Data.Bits..^.)	GHC.Bits.Bits a => a -> a -> a
type ghc-prim-0.10.0	Data.Bits.And	a -> Data.Bits.And a
type ghc-prim-0.10.0	Data.Bits.Iff	a -> Data.Bits.Iff a
type ghc-prim-0.10.0	Data.Bits.Ior	a -> Data.Bits.Ior a
type ghc-prim-0.10.0	Data.Bits.Xor	a -> Data.Bits.Xor a
type ghc-prim-0.10.0	Data.Bits.getAnd	Data.Bits.And a -> a
type ghc-prim-0.10.0	Data.Bits.getIff	Data.Bits.Iff a -> a
type ghc-prim-0.10.0	Data.Bits.getIor	Data.Bits.Ior a -> a
type ghc-prim-0.10.0	Data.Bits.getXor	Data.Bits.Xor a -> a
type ghc-prim-0.10.0	Data.Bits.oneBits	GHC.Bits.FiniteBits a => a
type ghc-prim-0.10.0	(GHC.Bits..&.)	GHC.Bits.Bits a => a -> a -> a
type ghc-prim-0.10.0	(GHC.Bits..|.)	GHC.Bits.Bits a => a -> a -> a
type ghc-prim-0.10.0	GHC.Bits.bit	GHC.Bits.Bits a => Int -> a
type ghc-prim-0.10.0	GHC.Bits.bitDefault	(GHC.Bits.Bits a, Num a) => Int -> a
type ghc-prim-0.10.0	GHC.Bits.bitSize	GHC.Bits.Bits a => a -> Int
type ghc-prim-0.10.0	GHC.Bits.bitSizeMaybe	GHC.Bits.Bits a => a -> Maybe Int
type ghc-prim-0.10.0	GHC.Bits.clearBit	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	GHC.Bits.complement	GHC.Bits.Bits a => a -> a
type ghc-prim-0.10.0	GHC.Bits.complementBit	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	GHC.Bits.countLeadingZeros	GHC.Bits.FiniteBits b => b -> Int
type ghc-prim-0.10.0	GHC.Bits.countTrailingZeros	GHC.Bits.FiniteBits b => b -> Int
type ghc-prim-0.10.0	GHC.Bits.finiteBitSize	GHC.Bits.FiniteBits b => b -> Int
type ghc-prim-0.10.0	GHC.Bits.isSigned	GHC.Bits.Bits a => a -> Bool
type ghc-prim-0.10.0	GHC.Bits.popCount	GHC.Bits.Bits a => a -> Int
type ghc-prim-0.10.0	GHC.Bits.popCountDefault	(GHC.Bits.Bits a, Num a) => a -> Int
type ghc-prim-0.10.0	GHC.Bits.rotate	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	GHC.Bits.rotateL	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	GHC.Bits.rotateR	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	GHC.Bits.setBit	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	GHC.Bits.shift	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	GHC.Bits.shiftL	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	GHC.Bits.shiftR	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	GHC.Bits.testBit	GHC.Bits.Bits a => a -> Int -> Bool
type ghc-prim-0.10.0	GHC.Bits.unsafeShiftL	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	GHC.Bits.unsafeShiftR	GHC.Bits.Bits a => a -> Int -> a
type ghc-prim-0.10.0	GHC.Bits.xor	GHC.Bits.Bits a => a -> a -> a
type ghc-prim-0.10.0	GHC.Bits.zeroBits	GHC.Bits.Bits a => a
type ghc-prim-0.10.0	Data.Bool.bool	a -> a -> Bool -> a
type ghc-prim-0.10.0	(&&)	Bool -> Bool -> Bool
type ghc-prim-0.10.0	False	Bool
type ghc-prim-0.10.0	True	Bool
type ghc-prim-0.10.0	not	Bool -> Bool
type ghc-prim-0.10.0	otherwise	Bool
type ghc-prim-0.10.0	(||)	Bool -> Bool -> Bool
type ghc-prim-0.10.0	Data.Char.digitToInt	Char -> Int
type ghc-prim-0.10.0	Data.Char.isLetter	Char -> Bool
type ghc-prim-0.10.0	Data.Char.isMark	Char -> Bool
type ghc-prim-0.10.0	Data.Char.isNumber	Char -> Bool
type ghc-prim-0.10.0	Data.Char.isSeparator	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.ClosePunctuation	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.ConnectorPunctuation	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.Control	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.CurrencySymbol	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.DashPunctuation	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.DecimalNumber	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.EnclosingMark	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.FinalQuote	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.Format	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.InitialQuote	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.LetterNumber	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.LineSeparator	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.LowercaseLetter	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.MathSymbol	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.ModifierLetter	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.ModifierSymbol	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.NonSpacingMark	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.NotAssigned	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.OpenPunctuation	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.OtherLetter	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.OtherNumber	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.OtherPunctuation	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.OtherSymbol	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.ParagraphSeparator	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.PrivateUse	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.Space	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.SpacingCombiningMark	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.Surrogate	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.TitlecaseLetter	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Unicode.UppercaseLetter	GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Char.chr	Int -> Char
type ghc-prim-0.10.0	GHC.Unicode.generalCategory	Char -> GHC.Unicode.GeneralCategory
type ghc-prim-0.10.0	GHC.Show.intToDigit	Int -> Char
type ghc-prim-0.10.0	GHC.Unicode.isAlpha	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isAlphaNum	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isAscii	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isAsciiLower	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isAsciiUpper	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isControl	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isDigit	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isHexDigit	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isLatin1	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isLower	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isLowerCase	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isOctDigit	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isPrint	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isPunctuation	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isSpace	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isSymbol	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isUpper	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isUpperCase	Char -> Bool
