Name	Type
importAlias	Decl -> Maybe Name RecSel Left Decl
importHiding	Decl -> Bool RecSel Left Decl
importItems	Decl -> Maybe[ImportItem]RecSel Left Decl
importModule	Decl -> Name RecSel Left Decl
importQualified	Decl -> Bool RecSel Left Decl
sqlExprs	SQLInfo -> [Expr]RecSel Left SQLInfo
sqlText	SQLInfo -> String RecSel Left SQLInfo
sqlVars	SQLInfo -> [String]RecSel Left SQLInfo
importName	Import -> Name RecSel Left Import
moduleDecls	Module -> [Decl]RecSel Left Module
moduleImports	Module -> [Import]RecSel Left Module
moduleName	Parser String
classDecl	Parser Decl
classDecl1	[Token] -> Maybe (Decl,[Token])
classDecl2	[Token] -> Maybe (Decl,[Token])
classDecl3	[Token] -> Maybe (Decl,[Token])
classDecl4	[Token] -> Maybe (Decl,[Token])
classDecl6	[Char]
classDecl_kw	String
decl	Parser Decl
declBody	Parser Decl
declDispatch	Parser Decl
declMany	Parser[Decl]
declMany1	[Token] -> Maybe ([Decl],[Token])
instanceDecl	Parser Decl
instanceDecl1	[Token] -> Maybe (Decl,[Token])
program	Parser[Decl]
program1	[Token] -> Maybe ([Decl],[Token])
skipVNlExpr	Parser Decl
skipVNlExpr1	[Token] -> Maybe (Decl,[Token])
skipVNlExpr2	[Token] -> Maybe (Token,[Token])
valueDecl	Parser Decl
valueDecl1	[Token] -> Maybe (Decl,[Token])
dataDecl	Parser Decl
dataDecl1	[Token] -> Maybe (Decl,[Token])
funDecl	Parser Decl
funDecl1	[Token] -> Maybe (Decl,[Token])
funDecl2	[Token] -> Maybe (Decl,[Token])
importDecl	Parser Decl
importDecl1	[Token] -> Maybe (Decl,[Token])
exportList	Parser[Export]
moduleDecl	Parser Decl
moduleDecl1	[Token] -> Maybe (Decl,[Token])
moduleDecl2	[Token] -> Maybe (Export,[Token])
moduleDecl_kw	String
newtypeDecl	Parser Decl
newtypeDecl1	[Token] -> Maybe (Decl,[Token])
typeDecl	Parser Decl
typeDecl1	[Token] -> Maybe (Decl,[Token])
typeSigDecl	Parser Decl
typeSigDecl1	[Token] -> Maybe (Decl,[Token])
isControlToken	Token -> Bool
moduleName1	[Token] -> Maybe (String,[Token])
moduleName3	[Token] -> Maybe (String,[Token])
moduleName5	[Char]
moduleName_a1	String
moduleName_t	Token
moduleName_xs	[Char]
parensI	Parser a -> Parser a
sepBy1Skip	Parser a -> Parser sep -> Parser[a]
sepBy1Skip1	Parser a -> Parser sep -> [Token] -> Maybe ([a],[Token])
